		Jem				
						
Kitty		Mary				
		Mysie	Miss Rogers				
		Rectory	Alice				
						
						
						
				eighteen		
						
		Mysie				
		Hugh				
Caletto		Spencer				
						
		Snap				
						
						
						
						
						
						
						
						
		Violante				
						
		Arthur	Miss Crofton				
		James				
						
						
						
						
		Crichton				
				these first sad days		
		Mysie	Arthur				
		Oxley Manor				
						
						
						
		Rosa				
						
		George	Frederica	Rectory	James	Hugh				
Fordham						
						
mournfully"she		Signor Mattei				
						
						
						
						
Signorina						
				a year		
		Rosa				
		Violante				
		James				
						
		Rosa				
		Arthur				
						
						
						
						
		Arthur				
		Violante				
						
						
		Violante				
						
		Rosa				
						
						
		Emily				
		Emily				
						
						
		Violante				
						
						
						
		Mysie		Sunday		
		Mysie	Arthur				
						
		James				
		Rosa				
		Arthur				
						
Canon						
						
						
				September		
						
						
						
		Katharine	Higher Counsel				
						
		Canon				
Kingsworth						
						
		Emberance				
Canon						
						
Vicar	Canon		Clare				
		Aunt Mary				
						
		Katie				
		Miss Clare's	Kate		Sunday		
		Kate				
						
						
						
						
						
		Mrs Kingsworth				
		Emberance	Walter Kingsworth				
						
		James				
		Mrs Kingsworth				
						
						
				tomorrow		
		Major Clare				
		Emmy				
Kingsworth						
						
						
		Walter				
						
						
						
		Kate				
						
		Canon Kingsworth				
		Kate	Mrs Kingsworth's				
						
Kingsworth						
Kingsworth		Deane				
						
				seven years		
						
						
						
						
						
						
		Canon				
						
						
						
						
						
						
						
		Kate				
						
		Kingsworth				
						
						
		Kate				
England						
						
Hatchard						
						
						
		Emmy				
				Christmas		
						
Kitty						
		Malcolm Mackenzie's		years		
						
		Enrique				
						
		Northberry				
England	Henry						
Holy Presence		Jose				
						
		Walter		today		
						
						
						
		My Arthur				
						
						
Portugal						
						
		Harry				
						
						
						
						
		Jose				
						
Crusade						
						
						
						
		Harry	Alvarez	Harry	Alvarez				
						
						
		Fernando				
						
						
		Enrique				
						
						
		Enrique				
		Harry	Dom Alvarez				
		Martin				
		Fernando				
						
France	Lisbon						
		Fernando				
		Fernando				
						
						
						
		Presently Fernando				
		Enrique				
						
						
						
						
						
		Dom Francisco				
						
						
						
						
		Walter				
		Walter				
		Martin				
						
		Nella				
						
		Harry				
						
						
		Enrique				
						
		Northberry				
Lisbon	Milan		Dom Enrique	the King of Aragon		the end of 1435		
						
		Jose				
						
						
						
						
						
						
		Enrique				
		Pope				
						
