		Lady Merrenden				
						
						
						
						
						
						
						
London						
		Evangeline				
						
						
		Christopher				
						
		Carruthers				
		Robert				
						
						
						
						
						
						
						
		Jewel				
						
						
						
						
						
		Lady Verningham				
						
						
Tryland						
		Carruthers				
						
		Véronique				
		Robert				
						
						
						
						
						
				Thursday, Nov. 10th		
						
		Lady Ver				
						
						
						
		Carruthers				
						
						
						
		Bob	Robert	Barton	Christopher		tomorrow		
						
						
						
		Robert				
						
		Willis				
						
						
		Robert				
						
						
						
						
		Lady Ver				
		Carruthers				
		Barton				
						
		Carruthers				
						
						
						
						
						
		Robert				
Edinburgh	Mademoiselle		Carruthers				
						
						
						
		Christopher				
						
						
						
						
						
						
						
						
				the end of a month		
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				only a few years ago		
						
						
						
						
				these days		
						
						
						
						
						
						
						
						
		John				
		JOHN				
						
London				next week		
						
						
						
						
				one day		
						
						
						
						
						
						
						
						
				a few years		
						
						
						
						
						
						
						
						
						
						
						
						
England						
				one year		
						
						
						
						
						
						
				spring		
						
						
						
				daily		
						
				eight hundred a year		
		Stella				
				four months		
		Ebley				
		Would Sasha				
						
		Ebley				
						
						
						
				the millennium		
						
						
		Medlicott				
		Stella				
		Stella				
						
						
						
		Stella				
		Stella				
						
						
						
		Ebley	Martha	Stella				
						
		Stella				
						
						
						
						
		Roumovski				
		Stella				
		Stella				
						
		Roumovski				
						
		Rawson				
						
						
						
						
						
						
						
						
						
						
		Stella				
						
		Stella				
						
						
						
						
						
		Ivan	Roumovski				
						
						
						
						
						
						
Paris				week	Sunday		
						
				some day		
						
		Ebley	Canon Ebley				
						
						
						
						
						
						
						
						
Anastasia						
						
				today		
						
						
						
		Medlicott				
